brand,model,price,gender,url,image_position,image_id,prompt
axel arigato,white & blue dice-a sneakers,400,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237008_1.jpg",1,10234355888960757696,These are shoes for men from brand axel arigato model white & blue dice-a sneakers. Item price is 400 dollars.
axel arigato,white & green dice-a sneakers,400,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237009_1.jpg",1,1605060246205752356,These are shoes for men from brand axel arigato model white & green dice-a sneakers. Item price is 400 dollars.
axel arigato,white & beige dice-a sneakers,400,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237007_1.jpg",1,16897834547032699402,These are shoes for men from brand axel arigato model white & beige dice-a sneakers. Item price is 400 dollars.
axel arigato,white & black dice lo sneakers,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237010_1.jpg",1,12494406142447472270,These are shoes for men from brand axel arigato model white & black dice lo sneakers. Item price is 385 dollars.
axel arigato,white & green dice lo sneakers,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237011_1.jpg",1,639441779017115157,These are shoes for men from brand axel arigato model white & green dice lo sneakers. Item price is 385 dollars.
axel arigato,beige & black dice lo sneakers,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237017_1.jpg",1,18301231076571533056,These are shoes for men from brand axel arigato model beige & black dice lo sneakers. Item price is 385 dollars.
axel arigato,beige & green dice lo sneakers,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237013_1.jpg",1,6506245806656548074,These are shoes for men from brand axel arigato model beige & green dice lo sneakers. Item price is 385 dollars.
axel arigato,beige & navy dice lo sneakers,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237012_1.jpg",1,15983937577666183630,These are shoes for men from brand axel arigato model beige & navy dice lo sneakers. Item price is 385 dollars.
axel arigato,black clean 90 sneakers,370,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237022_1.jpg",1,6762609969765622539,These are shoes for men from brand axel arigato model black clean 90 sneakers. Item price is 370 dollars.
axel arigato,navy clean 90 sneakers,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237025_1.jpg",1,18159926360453014813,These are shoes for men from brand axel arigato model navy clean 90 sneakers. Item price is 385 dollars.
axel arigato,gray clean 90 sneakers,370,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237021_1.jpg",1,14691165294626237351,These are shoes for men from brand axel arigato model gray clean 90 sneakers. Item price is 370 dollars.
axel arigato,brown clean 90 sneakers,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237023_1.jpg",1,6953726352076375254,These are shoes for men from brand axel arigato model brown clean 90 sneakers. Item price is 385 dollars.
axel arigato,beige & black clean 90 triple sneakers,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237018_1.jpg",1,11766325898832987662,These are shoes for men from brand axel arigato model beige & black clean 90 triple sneakers. Item price is 385 dollars.
axel arigato,white & navy clean 90 sneakers,370,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237026_1.jpg",1,8307538925971685901,These are shoes for men from brand axel arigato model white & navy clean 90 sneakers. Item price is 370 dollars.
axel arigato,white & green clean 90 sneakers,370,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237027_1.jpg",1,3912746383270095771,These are shoes for men from brand axel arigato model white & green clean 90 sneakers. Item price is 370 dollars.
axel arigato,beige clean 90 triple sneakers,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237019_1.jpg",1,9675546598849037846,These are shoes for men from brand axel arigato model beige clean 90 triple sneakers. Item price is 385 dollars.
axel arigato,beige clean 90 sneakers,370,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237020_1.jpg",1,11983208572166878110,These are shoes for men from brand axel arigato model beige clean 90 sneakers. Item price is 370 dollars.
axel arigato,beige clean 90 sneakers,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237024_1.jpg",1,1570782867064734613,These are shoes for men from brand axel arigato model beige clean 90 sneakers. Item price is 385 dollars.
axel arigato,white clean 90 triple b bird sneakers,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237030_1.jpg",1,7799163723706341434,These are shoes for men from brand axel arigato model white clean 90 triple b bird sneakers. Item price is 385 dollars.
axel arigato,beige & green clean 90 triple b bird sneakers,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237028_1.jpg",1,5299368957200693541,These are shoes for men from brand axel arigato model beige & green clean 90 triple b bird sneakers. Item price is 385 dollars.
axel arigato,black clean 90 triple b bird sneakers,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237029_1.jpg",1,6911842998058491595,These are shoes for men from brand axel arigato model black clean 90 triple b bird sneakers. Item price is 385 dollars.
givenchy,black town sneakers,880,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241278M237012_1.jpg",1,3856644446812335602,These are shoes for men from brand givenchy model black town sneakers. Item price is 880 dollars.
givenchy,white town sneakers,880,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241278M237011_1.jpg",1,13168975464111493370,These are shoes for men from brand givenchy model white town sneakers. Item price is 880 dollars.
moncler genius,moncler x adidas originals white nmd sneakers,780,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/232171M236003_1.jpg",1,14786051247545189508,These are shoes for men from brand moncler genius model moncler x adidas originals white nmd sneakers. Item price is 780 dollars.
moncler genius,moncler x adidas originals blue nmd sneakers,775,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/232171M236005_1.jpg",1,4901503262974394966,These are shoes for men from brand moncler genius model moncler x adidas originals blue nmd sneakers. Item price is 775 dollars.
moncler genius,moncler x adidas originals black campus sneakers,620,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/232171M237006_1.jpg",1,4079323284869771063,These are shoes for men from brand moncler genius model moncler x adidas originals black campus sneakers. Item price is 620 dollars.
moncler,black trailgrip lite2 sneakers,800,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241111M237005_1.jpg",1,13921526043839384126,These are shoes for men from brand moncler model black trailgrip lite2 sneakers. Item price is 800 dollars.
moncler,white trailgrip lite2 sneakers,800,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241111M237006_1.jpg",1,3180198780549897447,These are shoes for men from brand moncler model white trailgrip lite2 sneakers. Item price is 800 dollars.
tom ford,black printed croc warwick sneakers,1290,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241076M237020_1.jpg",1,9629760331909111819,These are shoes for men from brand tom ford model black printed croc warwick sneakers. Item price is 1290 dollars.
marsèll,white cassapana sneakers,990,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M237000_1.jpg",1,6105972931611149113,These are shoes for men from brand marsèll model white cassapana sneakers. Item price is 990 dollars.
marsèll,black cassapelle sneakers,970,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M231021_1.jpg",1,7994301161925819171,These are shoes for men from brand marsèll model black cassapelle sneakers. Item price is 970 dollars.
zegna,black & brown deerskin triple stitch sneakers,1210,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241142M237049_1.jpg",1,6311069566372429924,These are shoes for men from brand zegna model black & brown deerskin triple stitch sneakers. Item price is 1210 dollars.
zegna,black deerskin triple stitch sneakers,1210,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241142M237037_1.jpg",1,7460683207764914886,These are shoes for men from brand zegna model black deerskin triple stitch sneakers. Item price is 1210 dollars.
c2h4,black neutron high alpha sneakers,930,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241299M236000_1.jpg",1,8217580727300627192,These are shoes for men from brand c2h4 model black neutron high alpha sneakers. Item price is 930 dollars.
marsèll,black zucca media beatles chelsea boots,1125,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M223001_1.jpg",1,10499259114253456802,These are shoes for men from brand marsèll model black zucca media beatles chelsea boots. Item price is 1125 dollars.
stefan cooke,black stud panel boots,850,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241300M228002_1.jpg",1,7705357845517276895,These are shoes for men from brand stefan cooke model black stud panel boots. Item price is 850 dollars.
givenchy,burgundy mr g loafers,1205,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241278M231001_1.jpg",1,2380356191556910003,These are shoes for men from brand givenchy model burgundy mr g loafers. Item price is 1205 dollars.
marsèll,black toddone derbys,915,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M225020_1.jpg",1,9655205081043312843,These are shoes for men from brand marsèll model black toddone derbys. Item price is 915 dollars.
marsèll,brown toddone derbys,915,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M225021_1.jpg",1,9945080329887995042,These are shoes for men from brand marsèll model brown toddone derbys. Item price is 915 dollars.
stefan cooke,white studded shield derbys,810,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241300M225000_1.jpg",1,7069825593721739141,These are shoes for men from brand stefan cooke model white studded shield derbys. Item price is 810 dollars.
stefan cooke,black studded shield derbys,810,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241300M225001_1.jpg",1,14622733575796990686,These are shoes for men from brand stefan cooke model black studded shield derbys. Item price is 810 dollars.
stefan cooke,ssense exclusive black slashed derbys,610,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241300M225004_1.jpg",1,13929861070861019533,These are shoes for men from brand stefan cooke model ssense exclusive black slashed derbys. Item price is 610 dollars.
stefan cooke,black slashed loafers,610,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241300M231002_1.jpg",1,6551947190014106251,These are shoes for men from brand stefan cooke model black slashed loafers. Item price is 610 dollars.
stefan cooke,black polished leather loafers,610,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241300M231003_1.jpg",1,272180459052605754,These are shoes for men from brand stefan cooke model black polished leather loafers. Item price is 610 dollars.
stefan cooke,black 100 stars loafers,1005,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241300M231005_1.jpg",1,6431502581823940788,These are shoes for men from brand stefan cooke model black 100 stars loafers. Item price is 1005 dollars.
stefan cooke,black stud panel derbys,735,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241300M225002_1.jpg",1,17861243700638747763,These are shoes for men from brand stefan cooke model black stud panel derbys. Item price is 735 dollars.
stefan cooke,black studded loafers,735,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241300M231001_1.jpg",1,8384645939589851292,These are shoes for men from brand stefan cooke model black studded loafers. Item price is 735 dollars.
stefan cooke,black 100 stars loafers,1005,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241300M231004_1.jpg",1,9924625998087079783,These are shoes for men from brand stefan cooke model black 100 stars loafers. Item price is 1005 dollars.
stefan cooke,black & silver 4 slashed loafers,655,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241300M231006_1.jpg",1,3265624160060209208,These are shoes for men from brand stefan cooke model black & silver 4 slashed loafers. Item price is 655 dollars.
moncler,navy peka city derbys,1045,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241111M225000_1.jpg",1,9611660803445131236,These are shoes for men from brand moncler model navy peka city derbys. Item price is 1045 dollars.
tom ford,black suede barnes espadrilles,885,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241076M229000_1.jpg",1,1259570435671508373,These are shoes for men from brand tom ford model black suede barnes espadrilles. Item price is 885 dollars.
givenchy,black logo pool slides,385,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241278M234000_1.jpg",1,9394673790478925029,These are shoes for men from brand givenchy model black logo pool slides. Item price is 385 dollars.
givenchy,black 4g pool slides,685,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241278M234002_1.jpg",1,4552477939545599943,These are shoes for men from brand givenchy model black 4g pool slides. Item price is 685 dollars.
givenchy,white & blue 4g pool slides,680,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241278M234004_1.jpg",1,14698405510818255319,These are shoes for men from brand givenchy model white & blue 4g pool slides. Item price is 680 dollars.
marni,ssense exclusive pink pablo sneakers,1120,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241379M237000_1.jpg",1,9378010504778094289,These are shoes for men from brand marni model ssense exclusive pink pablo sneakers. Item price is 1120 dollars.
marni,ssense exclusive yellow pablo sneakers,1120,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241379M237001_1.jpg",1,16100290376416030485,These are shoes for men from brand marni model ssense exclusive yellow pablo sneakers. Item price is 1120 dollars.
marni,ssense exclusive pink fussbett sabot loafers,1030,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241379M231003_1.jpg",1,7596121590310480467,These are shoes for men from brand marni model ssense exclusive pink fussbett sabot loafers. Item price is 1030 dollars.
marni,ssense exclusive orange fussbett sabot loafers,1040,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241379M231001_1.jpg",1,435298382056099290,These are shoes for men from brand marni model ssense exclusive orange fussbett sabot loafers. Item price is 1040 dollars.
marni,ssense exclusive blue fussbett sabot loafers,1040,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241379M231000_1.jpg",1,5457906599354978129,These are shoes for men from brand marni model ssense exclusive blue fussbett sabot loafers. Item price is 1040 dollars.
versace,beige trigreca sneakers,1200,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241404M237011_1.jpg",1,9532527163570050113,These are shoes for men from brand versace model beige trigreca sneakers. Item price is 1200 dollars.
versace,black odissea sneakers,1040,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241404M237000_1.jpg",1,12131647774984387530,These are shoes for men from brand versace model black odissea sneakers. Item price is 1040 dollars.
salomon,white & beige xt-4 og sneakers,320,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241837M237003_1.jpg",1,2191256558818884080,These are shoes for men from brand salomon model white & beige xt-4 og sneakers. Item price is 320 dollars.
nike jordan,black ajko 1 low sneakers,235,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241445M237012_1.jpg",1,14409076621257941610,These are shoes for men from brand nike jordan model black ajko 1 low sneakers. Item price is 235 dollars.
bape,beige road sta #1 sneakers,390,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/232546M237029_1.jpg",1,8276039908407545765,These are shoes for men from brand bape model beige road sta #1 sneakers. Item price is 390 dollars.
marsèll,black cassapana sneakers,1000,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M237001_1.jpg",1,9877512906817827265,These are shoes for men from brand marsèll model black cassapana sneakers. Item price is 1000 dollars.
marsèll,taupe cassapelle sneakers,990,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M231022_1.jpg",1,12259522214433505280,These are shoes for men from brand marsèll model taupe cassapelle sneakers. Item price is 990 dollars.
versace,gray 'la medusa' suede loafers,1040,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241404M231003_1.jpg",1,4398178862497511411,These are shoes for men from brand versace model gray 'la medusa' suede loafers. Item price is 1040 dollars.
marsèll,black zucca media derbys,990,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M225007_1.jpg",1,1063343712707087859,These are shoes for men from brand marsèll model black zucca media derbys. Item price is 990 dollars.
marsèll,black nasello derbys,990,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M225009_1.jpg",1,3321208685439251195,These are shoes for men from brand marsèll model black nasello derbys. Item price is 990 dollars.
marsèll,off-white micarro derbys,1070,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M225010_1.jpg",1,358013570924990230,These are shoes for men from brand marsèll model off-white micarro derbys. Item price is 1070 dollars.
marsèll,black micarro derbys,1070,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M225011_1.jpg",1,15787490365905633113,These are shoes for men from brand marsèll model black micarro derbys. Item price is 1070 dollars.
marsèll,black strasacco derbys,815,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M225004_1.jpg",1,2072546547216852961,These are shoes for men from brand marsèll model black strasacco derbys. Item price is 815 dollars.
marsèll,black strasacco loafers,805,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M231000_1.jpg",1,18205773277855331248,These are shoes for men from brand marsèll model black strasacco loafers. Item price is 805 dollars.
marsèll,black coltellaccio slippers,805,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M231002_1.jpg",1,1073254781179326842,These are shoes for men from brand marsèll model black coltellaccio slippers. Item price is 805 dollars.
marsèll,brown coltellaccio slippers,805,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241349M231004_1.jpg",1,18429491176910019993,These are shoes for men from brand marsèll model brown coltellaccio slippers. Item price is 805 dollars.
